Sr. No.,Name,District,Address of Hospital,Clusters in HMIS application
1629,Primary Health Centre Kanjod,TAPI,At Po Kanjod Ta Valod Dist Tapi-394640," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1630,Primary Health Centre Karanjkhed,TAPI,At Po Karanjkhed Ta Dolvan Dist tapi394650," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1631,Primary Health Centre Karod,TAPI,At Po Karod Ta Uchchhal Dist taPI394675," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1632,Primary Health Centre Khanpur,TAPI,AT Po Khanpur Ta Vyara Dist Tapi394650," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1633,Primary Health Centre Kherwada,TAPI,At Po Khervada Ta Songadh Dist Tapi394670," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1634,Primary Health Centre Kukarmunda,TAPI,At Po Kukarmunda Ta Kukarmunda Dist Tapi394350," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1635,Primary Health Centre Lakhali,TAPI,At Po Ukai Ta Songadh Dist Tapi394650," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1636,Primary Health Centre Maypur,TAPI,At Po Maypur Ta Vyara Dist Tapi-394650," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1637,Primary Health Centre Padamdungri,TAPI,AT padamdungri ta dolvan dist tapi394650," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1638,Primary Health Centre Panchol,TAPI,at po  PANCHOL TA DOLVAN  DIST TAPI394650," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1639,Primary Health Centre Pipalwadi,TAPI,AT PIPALVADA TA DOLVAN DIST TAPI394650," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1640,Primary Health Centre Raygadh,TAPI,AT PO RAYGADH TA NIZAR DIST TAPI394350," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1641,Primary Health Centre Sadagavan,TAPI,At Po Sadgavan Ta Nizar Dist Tapi-394350," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1642,Primary Health Centre Singpur,TAPI,At Po Shingpur Ta Songadh Dist Tapi-394670," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1643,Primary Health Centre Ukhalda,TAPI,At PoUkhalda Ta Songadh Dist Tapi-394670," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1644,Primary Health Centre Vanka,TAPI,At Po Vanka Ta Nizar Dist Tapi394350," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1645,Primary Health Centre Veldha,TAPI,At Po Veldha Ta Nizar Dist Tapi394350," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1646,Primary Health Centre Virathva,TAPI,At po Virthava  Ta Songadh Dist Tapi394375," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1647,U-PHC Vyara,TAPI,"Dr Ambedkar Hall ,Near Compound Ofsingi Prathmik Shada"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1648,CHC BAJWA,VADODARA,Chc Bajwa Near Railway Station," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1649,CHC JAROD,VADODARA,Chc Jarod," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1650,CHC KARJAN,VADODARA,Karjan," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1651,CHC PADRA,VADODARA,Chc Padra," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1652,CHC POR,VADODARA,Por," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1653,CHC SAVLI,VADODARA,Chc Savli," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1654,CIVIL I. D. HOSPITAL,VADODARA,"karelibag, vadodara"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, Cluster - 14 JOINT REPLACEMENT, CLUSTER-16 ENT, CLUSTER-17
"
1655,Gujarat Medical Edu.  Research Society Hospital,VADODARA,"gotri, vadodara"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
1656,Hospital for Mental health Vadodara,VADODARA,"karelibag, vadodara"," CLUSTER-22 MENTAL DISORDER PACKAGES
"
1657,Jamnabai General Hospital,VADODARA,"mandvi, vadodara"," CLUSTER-1 BURNS AND PLASTIC SURGERY,CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, Cluster - 14 JOINT REPLACEMENT, CLUSTER-16 ENT, CLUSTER-17 
"
1658,PHC Pandu,VADODARA,pandu," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1659,PRIMARY HEALTH CENTER RANOLI,VADODARA,Primary Health Center Ranoli," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1660,Primary Health Centre Angadh,VADODARA,angadh," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1661,Primary Health Centre Ashoj,VADODARA,ashoj," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1662,Primary Health Centre Bhadarva,VADODARA,Bhadarva," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1663,Primary Health Centre Bhaili,VADODARA,bhaili," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1664,Primary Health Centre Bhilodia,VADODARA,village bhilodia," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1665,Primary Health Centre Chandod,VADODARA,village chandod," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1666,Primary Health Centre Chansad,VADODARA,chansad," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1667,Primary Health Centre Choranda,VADODARA,Choranda," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1668,Primary Health Centre Goraj,VADODARA,villaje goraj," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1669,Primary Health Centre Handod,VADODARA,handod," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1670,Primary Health Centre Kanzat,VADODARA,kanzat," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1671,Primary Health Centre Karkhadi,VADODARA,karkhadi," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1672,Primary Health Centre Karvan,VADODARA,village karvan," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1673,Primary Health Centre Kelanpur,VADODARA,kelanpur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1674,Primary Health Centre Koyali,VADODARA,koyali," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1675,Primary Health Centre Methi,VADODARA,methi," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1676,Primary Health Centre Mobha,VADODARA,mobha," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1677,Primary Health Centre Mujpur,VADODARA,mujpur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1678,Primary Health Centre navashihora,VADODARA,navashihora," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1679,Primary Health Centre Poicha,VADODARA,poicha," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1680,Primary Health Centre Rarod,VADODARA,rarod," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1681,Primary Health Centre Rustampura,VADODARA,village rustampura," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1682,Primary Health Centre Sadhali,VADODARA,village sadhli," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1683,Primary Health Centre Sadhi,VADODARA,sadhi," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1684,Primary Health Centre Sakarda,VADODARA,sakarda," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1685,Primary Health Centre Samlaya,VADODARA,samlaya," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1686,Primary Health Centre sandhasal,VADODARA,sandhasal," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1687,Primary Health Centre Sathod,VADODARA,village sathod," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1688,Primary Health Centre Shokhada,VADODARA,shokhada," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1689,Primary Health Centre Simali,VADODARA,village simali," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1690,Primary Health Centre Sinor,VADODARA,village sinor," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1691,Primary Health Centre Thuvavi,VADODARA,village thuvavi," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1692,Primary Health Centre Tundav,VADODARA,tundav," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1693,Primary Health Centre Vadiya,VADODARA,vadiya," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1694,Primary Health Centre Vadu,VADODARA,vadu," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1695,Primary Health Centre Valan,VADODARA,valan," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1696,Primary Health Centre Varnama,VADODARA,varnama," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1697,Primary Health Centre vejpur,VADODARA,vejpur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1698,Primary Health Centre Waghodia,VADODARA,village waghodia," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1699,RH  CHC  DABHOI,VADODARA,Rh  Chc  Dabhoi," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1700,Sir Sayajirao General Hospital,VADODARA,"Jail Road, Opp. Bharat Petrol Pump, Indira Avenue, Vadodara, Gujarat 390001"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, Cluster - 14 JOINT REPLACEMENT, CLUSTER-16 ENT, CLUSTER-17
"
1701,U-PHC Urban dabhoi,VADODARA,"Opp. Dabhoi Railway Station, Dabhoi."," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1702,VMCU-PHC Akota,VADODARA,"Shiwaji Pura, Opp. Sub-Registrar Office, Akota, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1703,VMCU-PHC Atladara,VADODARA,"Vasava Mahollo, B/H Swami Narayan Temple, Atladara, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1704,VMCU-PHC Bapod,VADODARA,"Aman Society, Near Varsha Society, Opp. Rubi Complex, Ajwa Road,Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1705,VMCU-PHC Chhani,VADODARA,"Opp. Chhani Vilaage, Near Bus Stand, Near Chhani Toll Tax, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1706,VMCU-PHC Danteshvar,VADODARA,"Police Line Qurters, Near Rpi Office, Near Pratapnagar Bridge, Pratapnagar, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
